User_ID,Basketball,Yoga,Hiking,Cycling,Gym,Swimming,Dancing,Running,Music,Photography,Availability,User Score,Location,Nationality,Languages Spoken,Gender
1,5,1,3,5,2,1,3,5,4,4,"Sun, Wed",7.5,Phuket,Australia,"English, Russian",Male
2,5,5,2,2,1,3,3,3,3,2,"Sat, Tue, Sun, Wed, Fri",3.1,Rayong,Canada,English,Female
3,3,5,5,3,5,3,2,5,5,2,"Sat, Wed",8.1,Chiang Mai,UK,English,Female
4,4,4,1,3,5,1,3,5,3,3,"Fri, Sat, Wed, Thu, Tue",3.3,Chiang Mai,Germany,"German, Mandarin, Thai",Male
5,5,2,4,4,3,2,3,3,2,5,"Wed, Fri",1.6,Bangkok,USA,English,Male
6,1,1,5,2,4,5,5,5,1,1,"Mon, Wed, Tue",8.7,Chiang Mai,Thai,"Thai, Korean",Male
7,2,2,5,5,5,1,5,5,4,5,"Fri, Sun",4.1,Lampang,France,French,Female
8,3,2,1,3,3,2,1,2,1,2,"Mon, Sun, Sat, Thu, Fri",4.7,Nakhon Si Thammarat,Sweden,"Swedish, Hindi, Portuguese",Male
9,3,3,4,5,1,1,4,2,1,5,"Tue, Mon, Sun, Thu",7.6,Khon Kaen,India,"Hindi, Swedish, Russian",Female
10,2,3,2,1,5,3,5,3,3,3,"Wed, Fri, Tue",7.0,Udon Thani,Sweden,"Swedish, Russian, English",Male
11,1,3,2,4,5,4,5,1,4,3,"Mon, Fri, Wed",8.7,Hat Yai,South Korea,"Korean, Portuguese, Spanish",Female
12,2,5,1,3,1,5,2,5,5,1,"Sat, Thu",1.0,Chiang Mai,UK,"English, Hindi",Female
13,2,5,3,5,4,1,1,5,5,5,"Mon, Wed, Thu, Tue, Fri",7.2,Ayutthaya,Australia,"English, Portuguese, French",Male
14,1,1,5,2,1,5,4,4,3,2,"Sun, Mon, Fri",9.2,Pattaya,Russia,Russian,Female
15,2,3,4,4,4,1,2,1,2,1,"Sun, Mon, Sat, Thu",1.4,Ayutthaya,France,"French, Portuguese, English",Female
16,5,2,1,2,4,5,1,3,3,2,"Wed, Sat, Fri",4.8,Khon Kaen,Sweden,"Swedish, Thai, Korean",Male
17,2,2,2,5,3,4,2,4,5,2,"Mon, Wed, Tue, Fri, Sun",6.1,Ratchaburi,Thai,"Thai, French",Female
18,4,1,3,3,5,1,1,4,1,1,"Sun, Thu, Fri",4.5,Samut Prakan,Germany,German,Female
19,4,2,4,3,1,3,3,1,4,1,"Fri, Sun, Wed",5.8,Bangkok,Australia,"English, Swedish, Japanese",Female
20,1,1,5,4,5,4,4,3,2,4,"Fri, Wed",5.0,Bangkok,Canada,English,Female
21,2,4,1,1,1,3,1,1,3,5,"Mon, Sun",6.7,Khon Kaen,UK,"English, French, Mandarin",Male
22,5,3,1,5,4,5,4,1,2,1,"Mon, Thu, Sat, Wed",6.2,Ayutthaya,Russia,"Russian, Swedish, Japanese",Male
23,5,2,1,2,5,3,3,4,3,4,"Sun, Mon, Tue",3.8,Chonburi,Sweden,"Swedish, French",Male
24,4,3,3,5,2,1,2,3,1,4,"Thu, Tue, Fri, Sun, Sat",1.7,Phuket,UK,English,Female
25,2,1,4,5,3,1,5,3,1,2,"Sun, Wed, Thu",2.9,Chonburi,Netherlands,Dutch,Female
26,1,3,2,4,2,4,5,3,3,2,"Wed, Sat, Thu, Fri",6.1,Phuket,Spain,Spanish,Male
27,4,1,1,3,3,2,3,2,4,4,"Tue, Sat",7.7,Samut Prakan,Netherlands,"Dutch, German, French",Female
28,2,3,5,3,4,5,1,2,4,5,"Tue, Fri, Thu, Sat, Sun",3.5,Nakhon Si Thammarat,Spain,"Spanish, Hindi, Swedish",Male
29,1,3,3,4,4,1,1,5,4,4,"Mon, Wed, Sat",4.3,Udon Thani,Spain,Spanish,Female
30,4,2,4,4,1,3,1,2,2,1,"Mon, Thu, Wed, Tue, Sun",9.9,Nakhon Si Thammarat,Russia,"Russian, English, Thai",Female
31,4,5,2,3,5,5,2,1,5,5,"Wed, Tue, Mon",5.5,Ayutthaya,Netherlands,"Dutch, Spanish",Female
32,1,4,3,1,5,1,3,3,5,5,"Fri, Sun, Thu",8.3,Ayutthaya,Canada,English,Male
33,4,1,4,4,1,2,5,3,3,4,"Wed, Fri, Sat, Tue",2.7,Samut Prakan,Canada,"English, Korean",Male
34,4,3,4,3,1,5,5,3,1,1,"Thu, Wed, Tue, Sat, Mon",6.6,Hat Yai,Netherlands,"Dutch, Swedish",Female
35,3,3,4,5,1,2,5,1,2,3,"Sat, Fri, Wed",9.0,Ratchaburi,China,Mandarin,Female
36,3,4,1,2,5,1,4,3,3,2,"Sun, Mon, Fri, Tue, Thu",8.1,Surat Thani,Netherlands,Dutch,Male
37,5,3,4,5,2,4,2,3,1,5,"Mon, Sun",9.8,Chonburi,South Korea,"Korean, Portuguese, Swedish",Female
38,2,1,5,5,1,1,1,1,1,2,"Sat, Mon, Thu",6.0,Surat Thani,Sweden,"Swedish, French",Male
39,4,1,3,2,4,3,1,1,5,2,"Tue, Sun, Fri",7.6,Nakhon Si Thammarat,Thai,"Thai, Portuguese",Male
40,3,1,5,1,3,3,1,2,5,3,"Sun, Fri, Sat",8.1,Ayutthaya,Sweden,"Swedish, Japanese",Female
41,5,2,4,5,5,1,3,1,1,1,"Wed, Tue, Fri, Sun, Mon",9.5,Pattaya,Spain,Spanish,Male
42,4,3,5,2,4,3,3,4,5,3,"Sun, Tue",2.4,Khon Kaen,Australia,English,Male
43,3,2,4,3,3,5,5,5,2,5,"Mon, Sat, Fri, Thu",7.6,Phuket,Sweden,"Swedish, Thai, Japanese",Female
44,5,3,3,3,5,4,4,2,1,5,"Sat, Fri",1.6,Khon Kaen,South Korea,"Korean, Thai",Female
45,5,2,1,5,1,5,5,2,2,4,"Sun, Wed",4.4,Nakhon Ratchasima,China,Mandarin,Male
46,2,2,3,3,3,2,1,1,4,5,"Mon, Wed, Thu, Fri, Sat",1.2,Udon Thani,Netherlands,Dutch,Male
47,1,2,5,5,3,2,2,5,3,4,"Sat, Tue, Fri, Wed, Mon",9.6,Nakhon Ratchasima,China,Mandarin,Male
48,4,1,5,4,4,5,2,4,4,4,"Thu, Mon, Fri",2.9,Samut Prakan,Spain,Spanish,Female
49,1,3,4,2,5,2,1,5,5,1,"Tue, Wed",4.3,Rayong,Canada,"English, Portuguese",Female
50,4,4,1,2,4,3,1,2,3,2,"Sun, Fri",7.2,Ratchaburi,China,Mandarin,Female
